Parcial1;Parcial2;Final
5,7;4,5;6,75
8,8;4,2;6,5
1,2;2,6;6,7
10;10;10
4,5;7;6,15
8;7,7;7,65
3,7;5,1;4
8,6;7,6;8,5
4,8;4,8;4
6,95;7,3;8,25
3;5,6;5,3
10;7,8;8,2
10;10;7,75
1,7;3,3;1,25
4;4,1;4,95
5,4;3,6;5,25
6,6;5,2;4,75
7,8;2,9;3,75
5,2;2,6;6
10;9,2;4,1
4,1;6,6;9,25
9,3;7,4;8,5
2,9;3,5;3,95
6,6;9,2;7,75
5,1;4,8;6,7
4;3;4,4
4,4;4;3
7,7;7,2;8,25
5,55;5;3
4,5;6,3;5,4
4,9;6,2;6,5
8,4;4,6;7,25
8,83;7,8;6,45
6,6;8,1;8,7
6,65;8,4;7,5
9,1;5,2;7,4
7,5;7,4;9,25
8,6;5,8;9,5
8,5;4,2;5,85
6,9;5;6,8
6,5;8,2;7,75
4,7;4,9;8,15
9;3,6;8,5
6,25;5,5;3,85
7,5;2,4;8,15
10;8,8;9,75
4,7;6,5;4,25
5,1;4,2;7,75
5,8;7,2;5,8
8;3,5;7
7,28;5,3;2,6
6;6,5;7,1
4,5;6,9;8
7,2;6,8;4,3
9,6;3,8;8,2
3;5,4;4,5
5,5;3,8;6,75
7,3;8,6;9,75
7,3;6,2;7,75
3,6;3,2;5
5,4;2;6
9,4;6,9;6,35
5,3;5,1;2,45
1,4;2;4,25
6,75;4,6;6,25
9,5;8;8,75
9;4,4;6,95
5,5;4,6;2,75
4;1,2;3,95
8;3,4;4,4
9,1;6,8;5,75
5,5;2,4;2,7
8,4;7,9;8,5
6,4;3,5;8,3
8,75;6,9;6,5
6,3;5,6;7,25
8;8;8,45
8,5;4,2;7,25