Fecha;Mes;Dia;Hora;PrMargEsp;PrMargPor;EnTotCompraEsp;EnTotVentaEsp;EnTotCompraPor;EnTotVentaPor;EnTotIberia;EnTotBilat;ImpEspPor;ExpEspPor
27/8/21;8;5;1;125,33;125,33;18417,9;15378;5277;5819,9;23694,9;31872,5;542,9;0
27/8/21;8;5;2;122,76;122,76;17161,1;14953,1;4938,1;4649,1;22099,2;30229,9;0;289
27/8/21;8;5;3;121,07;121,07;16319,7;14197,7;4658;4283;20977,7;28732,6;0;375
27/8/21;8;5;4;120,06;120,06;16085,5;13882,3;4491,2;4197,4;20576,7;27982,5;0;293,8
27/8/21;8;5;5;119,91;119,91;15902,9;13732,3;4425,4;3960;20328,3;27620,1;0;465,4
27/8/21;8;5;6;119,91;119,91;15942,9;13679;4401;4028,9;20343,9;27770,4;0;372,1
27/8/21;8;5;7;120,41;120,41;16751,8;13949;4439;4605,8;21190,8;29424,4;166,8;0
27/8/21;8;5;8;122;122;17965,1;15013,1;4572,2;4842,2;22537,3;30856,3;270;0
27/8/21;8;5;9;122,67;122,67;19174,7;16167,2;4800,3;5125,8;23975;32637,3;325,5;0
27/8/21;8;5;10;121,86;121,86;20825,3;18160;5338,3;5321,6;26163,6;34908,8;0;16,7
27/8/21;8;5;11;119,91;119,91;22666,1;20340,6;5659,2;5302,7;28325,3;36672;0;356,5
27/8/21;8;5;12;119,87;119,87;23780,7;21856,7;5832,4;5074,4;29613,1;37419,9;0;758
27/8/21;8;5;13;119,87;119,87;24999,2;22814;5984,4;5302,6;30983,6;38680,9;0;681,8
27/8/21;8;5;14;119,91;119,91;25462,9;23271,4;6004,4;5328,9;31467,3;39196,5;0;675,5
27/8/21;8;5;15;119,87;119,87;25653,3;23659,8;5898,5;5025;31551,8;39063,6;0;873,5
27/8/21;8;5;16;107;107;25091,1;23692;5976,3;4462,4;31067,4;38657,9;0;1513,9
27/8/21;8;5;17;108,72;108,72;24290,5;22863,8;5993,8;4507,5;30284,3;38011;0;1486,3
27/8/21;8;5;18;106,75;106,75;23695,1;22242,2;6006,3;4546,2;29701,4;37673,2;0;1460,1
27/8/21;8;5;19;107,7;107,7;22916,5;20895,2;5923,2;4892,5;28839,7;37008;0;1030,7
27/8/21;8;5;20;119,91;119,91;21677,1;18863,6;5912,4;5673,9;27589,5;36100;0;238,5
27/8/21;8;5;21;122,34;122,34;20492;17490;6043,6;5993,6;26535,6;35776;0;50
27/8/21;8;5;22;124,67;124,67;21110,1;17832,9;6247,8;6473;27357,9;36620,5;225,2;0
27/8/21;8;5;23;122,95;122,95;20547,8;17614,1;6064,2;5945,9;26612;35285,3;0;118,3
27/8/21;8;5;24;120,41;120,41;19281,6;16359,5;5667,5;5537,6;24949,1;32876,2;0;129,9
28/8/21;8;6;1;128,29;128,29;18086,4;15629,6;5268,2;5228;23354,6;31461,9;0;40,2
28/8/21;8;6;2;126,53;126,53;16715,7;15054;4801,6;3966,3;21517,3;29655,8;0;835,3
28/8/21;8;6;3;123,94;123,94;15502,7;14290,1;4516,6;3232,2;20019,3;28112,6;0;1284,4
28/8/21;8;6;4;122,95;122,95;14837,5;13899;4360,7;2802,2;19198,2;27203,9;0;1558,5
28/8/21;8;6;5;118,53;118,53;14365,3;13605,4;4289,5;2506,4;18654,8;26604,5;0;1783,1
28/8/21;8;6;6;117,14;117,14;14097,8;13424,6;4243;2373,2;18340,8;26266,3;0;1869,8
28/8/21;8;6;7;119,45;119,45;14074,6;13220,4;4244,6;2555,8;18319,2;26276,9;0;1688,8
28/8/21;8;6;8;120,27;120,27;13894,8;13099,8;4258,2;2510,2;18153;26301;0;1748
28/8/21;8;6;9;120,95;120,95;14867,1;13682;4300,9;2665;19168;27459,4;0;1635,9
28/8/21;8;6;10;122,5;122,5;16818,4;15810,8;4643,2;2829,8;21461,6;29621,4;0;1813,4
28/8/21;8;6;11;109,43;109,43;18717,1;18580,9;4886,8;2202;23603,9;31512,3;0;2684,8
28/8/21;8;6;12;94,5;94,5;20037,4;20072,4;5141,6;2285,6;25179;33014,1;0;2856
28/8/21;8;6;13;93;93;21034,7;21006,4;5334,7;2357;26369,4;34155,5;0;2977,7
28/8/21;8;6;14;96,4;96,4;21428,9;21379,4;5440,2;2483,7;26869,1;34663,5;0;2956,5
28/8/21;8;6;15;93,99;93,99;21823,4;21523,6;5321,5;2615,3;27144,9;34790,5;0;2706,2
28/8/21;8;6;16;91,02;91,02;22085,6;21656,2;5251,2;2674,6;27336,8;35090,8;0;2576,6
28/8/21;8;6;17;88,59;88,59;21417;20967,2;5356,2;2800;26773,2;34558,4;0;2556,2
28/8/21;8;6;18;87,95;87,95;21123,9;20766,8;5497,6;2848,7;26621,5;34467,5;0;2648,9
28/8/21;8;6;19;89,5;89,5;21070,2;20338;5139,3;2865,5;26209,5;34144,1;0;2273,8
28/8/21;8;6;20;97,5;97,5;19371;18708,6;5262,3;2779,7;24633,3;32675,6;0;2482,6
28/8/21;8;6;21;117,04;117,04;18145,3;17126,2;5463,7;3337,8;23609;32372,7;0;2125,9
28/8/21;8;6;22;125,01;125,01;18833,9;17252;5727,2;4164,1;24561,1;33398,6;0;1563,1
28/8/21;8;6;23;123,94;123,94;18226;16623;5591,9;4049,9;23817,9;32288,5;0;1542
28/8/21;8;6;24;116,86;116,86;16977,7;16550,8;5288,4;2570,3;22266,1;30327,5;0;2718,1
29/8/21;8;7;1;103;103;16229,2;16184,2;4982,1;2530,1;21211,3;29304,8;0;2452
29/8/21;8;7;2;93,11;93,11;15246;15004,3;4662,3;2407;19908,3;27857;0;2255,3
29/8/21;8;7;3;93,08;93,08;14819,3;14359,6;4400,7;2363,4;19220;26898,5;0;2037,3
29/8/21;8;7;4;93,08;93,08;14379,4;13794,6;4211,9;2346,7;18591,3;26009,6;0;1865,2
29/8/21;8;7;5;93,08;93,08;14061,9;13399,5;4115,7;2328,1;18177,6;25393,2;0;1787,6
29/8/21;8;7;6;93,11;93,11;13464,1;12807,5;4077,9;2284,5;17542;24750,5;0;1793,4
29/8/21;8;7;7;101,79;101,79;13387,8;12753,9;4078,4;2262,3;17466,2;24798,2;0;1816,1
29/8/21;8;7;8;102,6;102,6;13264,3;12562,1;4052;2304,2;17316,3;24621,7;0;1747,8
29/8/21;8;7;9;102,44;102,44;13664,6;12596,3;4022,7;2316;17687,3;25247,9;0;1706,7
29/8/21;8;7;10;105,98;105,98;14791,4;13952,4;4292;2356;19083,4;26745,8;0;1936
29/8/21;8;7;11;93,1;93,1;16763,7;16194,2;4578;2372,5;21341,7;28888,6;0;2205,5
29/8/21;8;7;12;93,06;93,06;18076,6;17835,6;4897,3;2363,3;22973,9;30463,3;0;2534
29/8/21;8;7;13;93,08;93,08;18623,7;18413,5;5156,1;2406,3;23779,8;31233,1;0;2749,8
29/8/21;8;7;14;96,97;96,97;19059,9;18868,5;5290,4;2521,8;24350,3;31764,7;0;2768,6
29/8/21;8;7;15;99,44;99,44;19262,4;18918,9;5121,9;2598,4;24384,3;31805,7;0;2523,5
29/8/21;8;7;16;93,08;93,08;19450,6;18849;4981,3;2715,9;24431,9;31879,8;0;2265,4
29/8/21;8;7;17;93,06;93,06;19405,7;18607;4890,4;2822,1;24296,1;31888,7;0;2068,3
29/8/21;8;7;18;93,06;93,06;18994,5;18054,8;4820,5;2893,2;23815;31521,7;0;1927,3
29/8/21;8;7;19;93,8;93,8;17886,7;17005,3;4860,1;2874,5;22746,8;30612,6;0;1985,6
29/8/21;8;7;20;111,97;111,97;16991,9;16177,8;5008,6;2816,7;22000,5;30092,6;0;2191,9
29/8/21;8;7;21;125,53;125,53;17174,9;15786,4;5254,7;3637,2;22429,6;30812,8;0;1617,5
29/8/21;8;7;22;128,41;128,41;18477,2;16765,6;5620,2;4325,8;24097,4;32724,4;0;1294,4
29/8/21;8;7;23;127,39;127,39;17856,3;16283,7;5566,9;4133,5;23423,2;32049;0;1433,4
29/8/21;8;7;24;125,6;125,6;16733,6;15697,6;5271,3;3301,3;22004,9;30493,5;0;1970
30/8/21;8;1;1;122,81;122,81;16144,2;15398,9;4929,8;3325,1;21074;29004,1;0;1604,7
30/8/21;8;1;2;117,41;117,41;15230,9;14959,7;4637,6;2558,8;19868,5;27684,7;0;2078,8
30/8/21;8;1;3;112,31;112,31;14324,3;14081,6;4393,8;2286,5;18718,1;26434,9;0;2107,3
30/8/21;8;1;4;112,31;112,31;13880,9;13564,6;4245,6;2211,9;18126,5;25704,5;0;2033,7
30/8/21;8;1;5;116,51;116,51;13995,9;13218,5;4182,2;2369,6;18178,1;25646,1;0;1812,6
30/8/21;8;1;6;120,95;120,95;14185,7;13127,3;4172,6;2641;18358,3;25838,6;0;1531,6
30/8/21;8;1;7;125;125;15960,2;13924,7;4237;3682,5;20197,2;27905,5;0;554,5
30/8/21;8;1;8;128,02;128,02;17861,9;15162,9;4429,9;4261,9;22291,8;30142;0;168
30/8/21;8;1;9;131,92;131,92;19260,8;16728,1;4684,8;5355;23945,6;31898,5;670,2;0
30/8/21;8;1;10;132,92;132,92;20910;19536,6;5220,4;5603,8;26130,4;33988,2;383,4;0
30/8/21;8;1;11;128,53;128,53;22227,6;20970,1;5577,5;5391,2;27805,1;35536,9;0;186,3
30/8/21;8;1;12;126,1;126,1;23092,8;21776,9;5770,7;4887,5;28863,5;36524,4;0;883,2
30/8/21;8;1;13;125,05;125,05;24093,7;22030,9;5944,5;4955,3;30038,2;37670,3;0;989,2
30/8/21;8;1;14;125,05;125,05;24527,5;22473,7;6015,1;5016,9;30542,6;38149,2;0;998,2
30/8/21;8;1;15;125,01;125,01;24417,1;22386,1;5982,4;5053,4;30399,5;37943,8;0;929
30/8/21;8;1;16;122,53;122,53;23838,6;21968,3;6098,2;5008,5;29936,8;37537,3;0;1089,7
30/8/21;8;1;17;121,72;121,72;23365;21613,7;6116,9;4908,2;29481,9;37105,2;0;1208,7
30/8/21;8;1;18;122,81;122,81;22925,7;21044,3;6144,9;5205,3;29070,6;36745,5;0;939,6
30/8/21;8;1;19;122,81;122,81;22045,8;20085,8;6041,3;5180,3;28087,1;35869,3;0;861
30/8/21;8;1;20;128,48;128,48;21236,3;20009,9;6029;5699;27265,3;35225,4;0;330
30/8/21;8;1;21;130,04;130,04;20715,1;18507,9;6158,3;5961,4;26873,4;35257,6;0;196,9
30/8/21;8;1;22;132,82;132,82;21343,8;18701,8;6421,4;6242,4;27765,2;36433,6;0;179
30/8/21;8;1;23;129,14;129,14;20176;17874,9;6257,1;5737,2;26433,1;35123,7;0;519,9
30/8/21;8;1;24;126,58;126,58;18230,4;16471,6;5831,9;4769,7;24062,3;32451,4;0;1062,2
31/8/21;8;2;1;132,22;132,22;18535,6;16437,3;5385,7;4987;23921,3;31817,1;0;398,7
31/8/21;8;2;2;130;130;17230,6;15311,8;4982,1;4403,9;22212,7;30025,6;0;578,2
31/8/21;8;2;3;128,9;128,9;16221,2;14543,6;4697,9;3878,5;20919,1;28669,9;0;819,4
31/8/21;8;2;4;125,95;125,95;15636,4;14087,3;4546,9;3599;20183,3;27902,9;0;947,9
31/8/21;8;2;5;126,53;126,53;15387,7;13738,7;4488,2;3594,2;19875,9;27537;0;894
31/8/21;8;2;6;128,45;128,45;15621,6;13773,4;4464,4;3769,6;20086;27738,2;0;694,8
31/8/21;8;2;7;132,24;132,24;17026,1;14217,2;4513;4778,9;21539,1;29334,6;265,9;0
31/8/21;8;2;8;133,47;133,47;18387,2;15490,7;4671;4839,5;23058,2;31206,1;168,5;0
31/8/21;8;2;9;137,02;137,02;19385,5;17103,3;4913,6;5544,7;24299,1;32665,1;631,1;0
31/8/21;8;2;10;135,84;135,84;21240,1;19275,3;5470,5;5343,8;26710,6;35012,5;0;126,7
31/8/21;8;2;11;131,45;131,45;22344,8;20077,3;5798,5;5338;28143,3;36364;0;460,5
31/8/21;8;2;12;128,9;128,9;23244,6;21510,5;5889,3;4895,4;29133,9;37311,8;0;993,9
31/8/21;8;2;13;128,45;128,45;24169,2;22431,7;6086,8;4818,3;30256;38433,6;0;1268,5
31/8/21;8;2;14;128,95;128,95;24941,7;22714,2;6137,4;5358,9;31079,1;39020,1;0;778,5
31/8/21;8;2;15;128,95;128,95;24898,7;22876,4;6083,3;5238,6;30982;38922,7;0;844,7
31/8/21;8;2;16;123,48;123,48;24098,9;22845,9;6195,9;4581,9;30294,8;38301;0;1614
31/8/21;8;2;17;123,35;123,35;23658,1;22383,8;6199,9;4607,2;29858;37895,3;0;1592,7
31/8/21;8;2;18;128;128;23230;21656,3;6129,3;4836;29359,3;37395,3;0;1293,3
31/8/21;8;2;19;129,46;129,46;22471,6;20161,2;6044,4;5487,8;28516;36565,9;0;556,6
31/8/21;8;2;20;134,07;134,07;21292,7;20151,1;6045,1;5688,2;27337,8;35937,4;0;356,9
31/8/21;8;2;21;134,9;134,9;21228,9;18945,6;6206,1;5652,2;27435;36190,8;0;553,9
31/8/21;8;2;22;137,46;137,46;21805,7;19333,3;6369,1;5974,5;28174,8;37045,2;0;394,6
31/8/21;8;2;23;133,47;133,47;20763;18613,2;6181;5463,8;26944;35688,2;0;717,2
31/8/21;8;2;24;131,22;131,22;19190,1;16958,6;5805,7;5170,2;24995,8;33183,4;0;635,5
1/9/21;9;3;1;130,95;130,95;17739,8;16157,4;5402,1;4584,5;23141,9;31385,6;0;817,6
1/9/21;9;3;2;125,26;125,26;16531,7;15405,8;5085,7;3811,6;21617,4;29725,3;0;1274,1
1/9/21;9;3;3;119,45;119,45;15739,6;14759,9;4833,5;3413,2;20573,1;28561,2;0;1420,3
1/9/21;9;3;4;114,74;114,74;15318,7;14381,1;4675,5;3213,1;19994,2;27947,2;0;1462,4
1/9/21;9;3;5;114,76;114,76;15178,7;14106,5;4600,6;3129,8;19779,3;27646,7;0;1470,8
1/9/21;9;3;6;121,15;121,15;15346,9;13858,1;4562,4;3508,2;19909,3;27740,3;0;1054,2
1/9/21;9;3;7;130,95;130,95;16956,3;14425,3;4611;4599;21567,3;29377,5;0;12
1/9/21;9;3;8;136,31;136,31;18477,3;14519;4802,9;5894,2;23280,2;31276,3;1091,3;0
1/9/21;9;3;9;137,92;137,92;19356,4;15797,4;5066;6344,1;24422,4;32880,5;1278,1;0
1/9/21;9;3;10;137,61;137,61;20660,7;17048,8;5677,4;6422,3;26338,1;34817,7;744,9;0
1/9/21;9;3;11;136,05;136,05;21685,5;18174,1;5911,4;6555,8;27596,9;35869,5;644,4;0
1/9/21;9;3;12;134,93;134,93;22377,6;19422;6089,3;6177,9;28466,9;36728,1;88,6;0
1/9/21;9;3;13;134,93;134,93;23223,7;20285,5;6246,2;6271,4;29469,9;37711;25,2;0
1/9/21;9;3;14;134,97;134,97;23775,7;20854,9;6358,3;6366,1;30134;38179,2;7,8;0
1/9/21;9;3;15;134,93;134,93;23728,6;21128,7;6306,6;6131,5;30035,2;38053;0;175,1
1/9/21;9;3;16;134,41;134,41;22997,1;20926,7;6350,6;5646;29347,7;37429,9;0;704,6
1/9/21;9;3;17;134,93;134,93;22630,7;20368,6;6332,9;5820;28963,6;37086,8;0;512,9
1/9/21;9;3;18;135,12;135,12;22196,4;19547,5;6237,6;6111,5;28434;36499,4;0;126,1
1/9/21;9;3;19;136,31;136,31;21413,3;18503,9;6151,9;6148,3;27565,2;35684,9;0;3,6
1/9/21;9;3;20;138,41;138,41;20826,5;17938,5;6167,2;6605,1;26993,7;35427,4;437,9;0
1/9/21;9;3;21;139,16;139,16;20683,9;17276;6317;6811,9;27000,9;35629,1;494,9;0
1/9/21;9;3;22;139,95;139,95;21017,8;17507,9;6541,4;7138,3;27559,2;36535,2;596,9;0
1/9/21;9;3;23;138,42;138,42;19739,6;16651,6;6310,1;6485,1;26049,7;34973;175;0
1/9/21;9;3;24;137,54;137,54;18697,8;15743;5892,1;5933,9;24589,9;32396,4;41,8;0
2/9/21;9;4;1;140,6;140,6;18213,2;15753,3;5380,7;5640,6;23593,9;31153,4;259,9;0
2/9/21;9;4;2;139,75;139,75;17252,6;14950,7;4999,3;5101,2;22251,9;29670,1;101,9;0
2/9/21;9;4;3;138,6;138,6;16280,4;14123,3;4794,2;4751,3;21074,6;28442,5;0;42,9
2/9/21;9;4;4;137,78;137,78;15792,9;13865,3;4625,6;4353,2;20418,5;27743,6;0;272,4
2/9/21;9;4;5;137,78;137,78;15593,9;13594,9;4543;4292;20136,9;27432,6;0;251
2/9/21;9;4;6;138,31;138,31;15906,8;13408,9;4518,8;4766,7;20425,6;27705;247,9;0
2/9/21;9;4;7;140;140;17638;14397,1;4587,3;5578,2;22225,3;29624,2;990,9;0
2/9/21;9;4;8;140,82;140,82;19103,9;15213,9;4741,8;5764,8;23845,7;31671,5;1023;0
2/9/21;9;4;9;141,62;141,62;19757,2;16097,5;5047,2;5961,4;24804,4;33099,9;914,2;0
2/9/21;9;4;10;140,72;140,72;21088,8;17808,8;5612,3;6025,3;26701,1;35076,2;413;0
2/9/21;9;4;11;139,9;139,9;22785,1;19720,6;5928,6;6126,1;28713,7;36742,4;197,5;0
2/9/21;9;4;12;138,31;138,31;23482,1;20857;6135;5893,1;29617,1;37611,6;0;241,9
2/9/21;9;4;13;138,6;138,6;24451,6;21826;6304;6016,6;30755,6;38559,7;0;287,4
2/9/21;9;4;14;138,91;138,91;24875,3;22096,5;6324,9;6190,7;31200,2;38806,2;0;134,2
2/9/21;9;4;15;138,6;138,6;24727,7;21866,5;6245,5;6193,7;30973,2;38577;0;51,8
2/9/21;9;4;16;137,78;137,78;23936,4;21530,5;6336,1;5829;30272,5;37929,4;0;507,1
2/9/21;9;4;17;137,45;137,45;23480,7;21025;6258,5;5801,2;29739,2;37428,2;0;457,3
2/9/21;9;4;18;138,06;138,06;23261,8;20278,4;6240,9;6311,3;29502,7;37109;70,4;0
2/9/21;9;4;19;139,21;139,21;22577,3;19155,4;6161,4;6438,3;28738,7;36375;276,9;0
2/9/21;9;4;20;143,41;143,41;21363,6;18653,4;6120,2;7553,9;27483,8;35558,1;1433,7;0
2/9/21;9;4;21;144,35;144,35;21276,6;16937;6258;7452,6;27534,6;35747,6;1194,6;0
2/9/21;9;4;22;148;148;21540;17046,6;6470,9;7819,3;28010,9;36209,2;1348,4;0
2/9/21;9;4;23;145;145;20510,4;16233,5;6243,5;7375,4;26753,9;34814,8;1131,9;0
2/9/21;9;4;24;141,89;141,89;19115,2;15251,4;5833,8;6552,6;24949;32656;718,8;0
3/9/21;9;5;1;143,66;143,66;17837,6;14738;5410,5;5910,1;23248,1;30717,4;499,6;0
3/9/21;9;5;2;141;141;16486,7;14456,8;5040,2;4470,1;21526,9;28958,2;0;570,1
3/9/21;9;5;3;140;140;15997,7;13891,2;4741,6;4248,1;20739,3;27980,5;0;493,5
3/9/21;9;5;4;139,95;139,95;16012,3;13856,5;4607,4;4163,2;20619,7;27843,6;0;444,2
3/9/21;9;5;5;139,27;139,27;15809,7;13698,1;4544,6;4056,2;20354,3;27569,3;0;488,4
3/9/21;9;5;6;139,49;139,49;15908,7;13712,1;4514,6;4111,2;20423,3;27655,9;0;403,4
3/9/21;9;5;7;140,27;140,27;17029,1;14328,2;4578,5;4679,4;21607,6;28897,8;100,9;0
3/9/21;9;5;8;142,96;142,96;18669,6;15248;4769,4;5591;23439;31123,2;821,6;0
3/9/21;9;5;9;143,66;143,66;19641,2;16274,4;5010,2;5777;24651,4;32600,7;766,8;0
3/9/21;9;5;10;142,35;142,35;21030,9;18623,2;5620,5;5428,2;26651,4;34592,5;0;192,3
3/9/21;9;5;11;140;140;22790,6;21075,1;5939,5;5055;28730,1;36736,1;0;884,5
3/9/21;9;5;12;136,85;136,85;23618,1;22202,9;6105,6;4920,8;29723,7;37570,6;0;1184,8
3/9/21;9;5;13;131,55;131,55;24430,5;23220,7;6213,2;4823;30643,7;38464,9;0;1390,2
3/9/21;9;5;14;133,01;133,01;24944,9;23560,4;6198,7;4983,2;31143,6;38778;0;1215,5
3/9/21;9;5;15;127,12;127,12;24838,1;23488,9;6124,2;4873,4;30962,3;38628;0;1250,8
3/9/21;9;5;16;121,75;121,75;24086,5;22936,2;6275,9;4826,2;30362,4;38046,3;0;1449,7
3/9/21;9;5;17;119,42;119,42;23531,7;22307,2;6291,6;4916,1;29823,3;37528;0;1375,5
3/9/21;9;5;18;122;122;22971,8;21684,2;6224,7;4912,3;29196,5;36902,2;0;1312,4
3/9/21;9;5;19;136,74;136,74;21950,6;20221,3;6118,2;5247,5;28068,8;35822,1;0;870,7
3/9/21;9;5;20;143,93;143,93;20470,4;19362,9;6081,8;6698,6;26552,2;34702;616,8;0
3/9/21;9;5;21;144,63;144,63;20280,5;17106,4;6181,7;6755,8;26462,2;35034;574,1;0
3/9/21;9;5;22;147,57;147,57;21215,7;17446,6;6432,9;7602;27648,6;35890,9;1169,1;0
